Driver,Season,Teammate_delta,Lap_stdev,Avg_Q,Avg_R,DNFRate,SynergyScore
Max Verstappen,2024,-0.7391841142712394,1.5003087606927603,2.9166666666666665,3.625,4.166666666666667,-14.469457979754855
Fernando Alonso,2024,-0.2555087455298583,1.6861692801038315,9.583333333333334,10.166666666666666,4.166666666666667,-38.22232720124064
Oscar Piastri,2024,0.2377165186535144,1.5654950677810182,5.416666666666667,5.125,0.0,-20.178211586434532
Lewis Hamilton,2024,0.1320645002660114,1.7055836474455603,8.5,6.958333333333333,8.333333333333334,-32.670981481044905
Logan Sargeant,2024,0.6909124979955232,2.231411609447584,17.5,17.142857142857142,14.285714285714286,-70.60089553601453
Pierre Gasly,2024,-0.1330879714889128,1.6195407990384338,13.208333333333334,12.875,16.666666666666668,-55.382286160882856
Carlos Sainz,2024,-0.0164692667633492,1.452204927258091,5.521739130434782,5.695652173913044,8.695652173913043,-25.457474790929524
Lance Stroll,2024,0.4975966073661185,1.4537729551728824,12.833333333333334,13.375,12.5,-54.201369562539
Valtteri Bottas,2024,-0.3038402866836082,1.871029965661056,15.125,15.833333333333334,8.333333333333334,-60.08802301231078
Alexander Albon,2024,-0.403441910518,1.432007431230583,12.583333333333334,14.541666666666666,29.0,-63.48689885404592
Oliver Bearman,2024,0.512015492253866,2.396206808797433,13.0,9.666666666666666,0.0,-41.74155563438463
Guanyu Zhou,2024,0.3038402866836082,2.125516178980272,18.0,15.0,8.333333333333334,-63.596023132330544
Daniel Ricciardo,2024,-0.2528780148088028,1.6405235717875415,13.166666666666666,13.38888888888889,11.11111111111111,-53.470978890312075
Lando Norris,2024,-0.2524299014410645,1.4729482967780505,3.5416666666666665,4.291666666666667,0.0,-15.11635172867032
Esteban Ocon,2024,0.1105892213824164,1.785920805230046,14.391304347826088,13.695652173913045,8.695652173913043,-55.2225969831342
Yuki Tsunoda,2024,0.1787047704455007,1.6008873992946406,11.125,13.166666666666666,16.666666666666668,-53.133758836406805
Jack Doohan,2024,0.560564223512344,0.6904973274391459,20.0,15.0,0.0,-61.25106155095149
George Russell,2024,-0.1358294641520216,1.4475029238322703,5.166666666666667,6.75,8.333333333333334,-26.728340126346918
Sergio Perez,2024,0.7784727485110462,1.5806133772178177,0.0,9.625,16.666666666666668,-29.9424194590622
Franco Colapinto,2024,-0.1645582717624751,1.103051924952754,15.77777777777778,13.555555555555555,33.333333333333336,-68.38293809763474
Liam Lawson,2024,0.031452755250522,1.5129561061411818,12.666666666666666,13.5,0.0,-47.5444088613917
Kevin Magnussen,2024,0.2111769295280198,1.7035386594346609,14.272727272727272,13.363636363636363,4.545454545454546,-52.323806498053585
Charles Leclerc,2024,-0.0114923150039647,1.4325931098230058,5.333333333333333,4.541666666666667,4.166666666666667,-20.587767461485708
